Name_of_the_video;ind;MG;TMG;MGA;TMGA;DG;MSGO;MAGO;MSGC;MAGC;prey_capture_type;MTgP;TMTgP;TgD;MSTgP; MATgP;MSTgR;MATgR;Thd1;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Thd2;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer;SPD0;HA0;T0;Tmax_gape;Tend_gape;T0_tongue;P0_tongue;Tmax_tongue;Tend_tongue;T0_hd1;Tmax_hd1;Tend_hd1;T0_hd2;Tmax_hd2;Tend_hd2
A_mavortium_ind2_pince_seq3_criquet_cropped;T1;1.981058;0.142;66.10082;0.147; 0.275;42.12647; 5389.47;-45.15193; 2326.527;tg;0.7414558;0.095;0.177;19.3643; 1963.404;-14.81084;908.3785; 0.201; 0.1441162;0.298;1.138;8.108465;338.2279;-2.394504;184.35;0.108;0.2088421;0.264;1.276;6.722353; 468.1641;-3.000716;190.8823;161.1407;0.146;1.384;yes;0.68;132.385435288663;0;0.142;0.275;0.003;1.415406; 0.095; 0.18;0.201;0.298;1.339;0.108;0.264;1.384
A_mavortium_ind2_pince_seq5_criquet_cropped;T1; 1.946309;0.111;70.62669;0.11;0.176;51.63191; 6159.468; -47.46453;3629.834;tg;0.8571848;0.054; 0.123;38.87413;4074.775;-29.38851;1224.077; 0.06;0.4376968; 0.11;0.664;15.19922; 1419.918;-5.998645;1224.278;0.054;0.4940395;0.123;0.47;13.05483; 889.5825;-7.140223; 646.0648;153.3804;0.108;0.724;yes;0.52;130.291307468378;0;0.111;0.176;0.003;1.086907;0.054;0.126;0.06;0.11;0.724;0.054;0.123; 0.524
A_mavortium_ind2_pince_seq6_criquet_cropped;T1;2.064721; 0.161;82.7536; 0.165;0.356;51.93121;2713.157;-38.06933;1321.636;tg;0.7974149; 0.06;0.153;25.50412;1539.288;-32.83729; 1563.343;0.131;0.2867379;0.196; 0.147;7.831716;596.9494; -9.848385;517.1853;0.103;0.7710048; 0.194;0.67;15.03926;427.2283;-12.31996;325.3831;161.0315; 0.139; 0.773;yes;0.67;132.541781817077;0.051;0.212;0.407;0.057;1.36846;0.111;0.21;0.182;0.247;0.329;0.154;0.245;0.824
A_mavortium_ind2_sans_pince_seq2_criquet_cropped;T1; 1.938823;0.131;78.00447;0.133;0.246;38.24067;1936.698;-34.71639;917.3176;tg;0.558231; 0.072;0.145;20.02789; 1085.461; -23.38049;721.0385;0.081;0.3160083;0.363;1.25;12.18617;705.1216;-1.300532;100.0747;0.095; 0.6083349;0.167;1.257; 18.59577;1060.775;-3.494562;316.4923;153.501;0.104;1.352;no;0.16;131.950627268152;0.041;0.172;0.287;0.042;1.184705; 0.113;0.187;0.122;0.404;1.372;0.136;0.208; 1.393
A_mavortium_ind2_sans_pince_seq5_criquet_cropped;T1;1.529141;0.12;72.55925;0.116;0.25; 50.32517;3559.639;-18.43895;431.9372;tg;0.8221585;0.074;0.154;28.88438;2443.149;-33.50877;1163.498;0.11;0.4200419;0.522;1.203;11.22787;587.6909; -0.6769699;85.73054; 0.112; 0.2626275;0.456; 1.201; 10.33626;473.4874; -0.9544158; 86.4389;133.3772;0.116; 1.313;no;1.28;106.274002426619; 0.009; 0.129;0.259;0.024;0.9739846;0.083; 0.178;0.119;0.531; 1.322;0.121;0.465;1.322
A_mavortium_ind2_sans_pince_seq7_criquet_cropped;T1; 2.056396;0.221;72.12492;0.224;0.403;58.14127;4128.85;-24.10604; 1118.982;tg;0.7780824;0.06;0.216;21.90137; 1574.652; -52.50828;8598.128;0.466;0.4118718; 1.069;0.666;1.051696;125.1886;-0.3965117;35.44969;0.433;0.2550103;0.906;0.699;0.8869508;131.0173;-0.4912974; 82.23953; 152.3728; 0.163;1.132;no;0.34;127.967558568211;0.004; 0.225;0.407; 0.014;1.435763;0.064; 0.23;0.47; 1.073;1.136;0.437;0.91;1.136
A_mavortium_ind3_pince_seq1_criquet_cropped;T2;1.777088; 0.078;78.14687;0.078; 0.125;57.72135; 25105.15;-57.74755; 4546.841;tg;0.9070519;0.048;0.088; 32.01523; 5167.47;-44.46354; 2987.852;0.06;0.466703;0.213;1.075; 13.42784;979.1621;-5.199322;498.1257;0.056;0.6674749;0.222;1.076;16.56878;848.3185;-7.158131; 920.7092;140.0816;0.058;1.135;yes;0;110.372894759129;0;0.078;0.125;0;0.7908655;0.048;0.088;0.06;0.213;1.135;0.056; 0.222;1.132
A_mavortium_ind3_pince_seq2_criquet_cropped;T2; 2.07312;0.095;94.98129;0.092; 0.379;51.47942; 18512.66;-44.17324;1814.195;jaws;0.7640146;0.053;0.105;27.73066; 3636.389;-41.16667;3467.229;0.066;0.1953935;0.116;1.489;12.88937;1063.749; -7.060777;510.9462;0.06;0.6664642; 0.125;1.478;19.22667; 844.1035;-5.075555;233.6296;149.6838;0.097;1.555;yes;0.32;107.70655581577;0; 0.095; 0.379;0;1.062505;0.053;0.105;0.066;0.116; 1.555;0.06;0.125;1.538
A_mavortium_ind3_pince_seq4_criquet_cropped;T2; 1.959381;0.109;80.02451;0.111;0.224;54.31538; 11246.6;-47.92372;2374.079;tg;0.5363298;0.063;0.067;28.83573;11385.67;-32.32164; 6611.712;0.068;0.1108133;0.254; 1.323;14.26519;836.1966; -2.379681;92.25;0.083;0.6064831;0.123; 1.302; 37.13883;2250.348; -9.811093;423.3355;135.6549;0.112;1.391;yes;0.66;113.695404461619;0;0.109;0.224;0.027;1.494214;0.063;0.094;0.068;0.254;1.391;0.083;0.123;1.385
A_mavortium_ind3_pince_seq5_criquet_cropped;T2;1.99598;0.128; 76.64198; 0.126;0.215;50.14054;3686.364;-43.70191;1722.287;tg;0.948119; 0.068;0.131;23.11344;1211.906;-27.62701;1647.306;0.079;0.2127061;0.251;1.491; 8.354939;457.5822;-1.550971;77.16786;0.068; 0.3613794;0.152;1.502;11.10633;750.0756;-3.746687;174.6284;132.8219;0.124;1.57;yes;0.41;106.821675958778;0.014;0.142;0.229;0.016;1.106715;0.082;0.147;0.093;0.265;1.584;0.082;0.166; 1.584
